cue_frequency,cue_frequency_range,choice_frequency,choice_frequency_range,thisN,thisTrialN,thisRepN,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisN,thisTrialN,thisRepN,audio_onset,audio_offset,display_feedback,response_time,response,runid,ttl,monitor,responseType,eyetracker,screen_resolution,monitor_width,full_screen,ttl_code,sound_fs,mmb_port_code,pport_port_code,ttl_port,outputDir,date,psychopy_version,
400,0.5,440,0.5,0,0,1,1,0,0,3,0,0,1,80.93938149099995,88.14086979899912,88.14086979899912,88.13748487299927,diff,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,410,0.5,1,1,1,1,1,1,1,1,1,1,95.85625459400035,102.28739961999963,102.28739961999963,102.27597695899931,diff,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,400,0.5,2,2,1,1,2,2,0,2,2,1,109.07255298599921,115.34299903300052,115.34299903300052,115.33967452099932,same,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,420,0.5,3,3,1,1,3,3,2,3,3,1,123.18924424999932,128.4399799490002,128.4399799490002,128.43718382500083,diff,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,480,0.5,4,4,1,1,4,4,4,4,4,1,135.98916488100076,142.7370447079993,142.7370447079993,142.72677113099962,diff,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,440,0.5,5,0,2,2,0,5,3,5,0,2,150.7077499299994,156.0895362600004,156.0895362600004,156.0869570039995,diff,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,420,0.5,6,1,2,2,1,6,2,6,1,2,163.10708890999922,168.18945515800078,168.18945515800078,168.1867719410002,diff,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,410,0.5,7,2,2,2,2,7,1,7,2,2,175.47402033199978,180.58939066899984,180.58939066899984,180.58668430500074,diff,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,480,0.5,8,3,2,2,3,8,4,8,3,2,187.58870619200025,195.45607841499987,195.45607841499987,195.4532382310008,diff,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
400,0.5,400,0.5,9,4,2,2,4,9,0,9,4,2,202.77384150800026,208.45589150699925,208.45589150699925,208.45305350700073,same,chase50coh_0.5oct2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct2,2023-07-21_12h36.04.299,2022.1.4,
