cue_frequency,cue_frequency_range,choice_frequency,choice_frequency_range,thisN,thisTrialN,thisRepN,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisN,thisTrialN,thisRepN,audio_onset,audio_offset,display_feedback,response_time,response,runid,ttl,monitor,responseType,eyetracker,screen_resolution,monitor_width,full_screen,ttl_code,sound_fs,mmb_port_code,pport_port_code,ttl_port,outputDir,date,psychopy_version,
400,0.5,400,0.5,0,0,1,1,0,0,0,0,0,1,35.71190457699413,40.647247862994845,40.647247862994845,40.64355049200094,same,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,420,0.5,1,1,1,1,1,1,1,1,1,1,47.16195049700036,52.13032651299727,52.13032651299727,52.1271618009996,diff,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,400,0.5,2,0,2,2,0,2,0,2,0,2,59.82904273699387,64.9969218490005,64.9969218490005,64.99407146299927,same,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,420,0.5,3,1,2,2,1,3,1,3,1,2,72.59603208799672,80.29762844099605,80.29762844099605,80.29449393899995,diff,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,400,0.5,4,0,3,3,0,4,0,4,0,3,88.16300169999886,95.21292006799922,95.21292006799922,95.21000336099678,same,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,420,0.5,5,1,3,3,1,5,1,5,1,3,102.53023624699563,108.16512361000059,108.16512361000059,108.16178982299607,diff,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,420,0.5,6,0,4,4,0,6,1,6,0,4,116.17991022999922,122.01288932199532,122.01288932199532,122.01032829699398,diff,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,400,0.5,7,1,4,4,1,7,0,7,1,4,129.64670771799865,135.2653066329949,135.2653066329949,135.2620349159988,same,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,400,0.5,8,0,5,5,0,8,0,8,0,5,141.7304507499939,147.14888954599883,147.14888954599883,147.14569537699572,same,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
400,0.5,420,0.5,9,1,5,5,1,9,1,9,1,5,153.21426166199672,159.04894631099887,159.04894631099887,159.04591325899673,diff,chase50coh_0.5oct_3SecWMdelay_2,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3SecWMdelay_2,2023-07-25_14h20.37.102,2022.1.4,
