cue_frequency,cue_frequency_range,choice_frequency,choice_frequency_range,thisN,thisTrialN,thisRepN,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisN,thisTrialN,thisRepN,audio_onset,audio_offset,display_feedback,response_time,response,runid,ttl,monitor,responseType,eyetracker,screen_resolution,monitor_width,full_screen,ttl_code,sound_fs,mmb_port_code,pport_port_code,ttl_port,outputDir,date,psychopy_version,
400,0.5,400,0.5,0,0,1,1,0,0,0,0,0,1,42.893512066002586,48.2448278640004,48.2448278640004,48.239935060999414,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,420,0.5,1,1,1,1,1,1,1,1,1,1,54.52736954199645,59.92656922199967,59.92656922199967,59.923304982003174,diff,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,400,0.5,2,0,2,2,0,2,0,2,0,2,66.442030719998,71.44297769499826,71.44297769499826,71.43981961400277,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,420,0.5,3,1,2,2,1,3,1,3,1,2,77.74154464699677,82.72314424400247,82.72314424400247,82.71105034399807,diff,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,400,0.5,4,0,3,3,0,4,0,4,0,3,89.38971134700114,94.92680473699875,94.92680473699875,94.92308275600226,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,420,0.5,5,1,3,3,1,5,1,5,1,3,101.97706091599684,107.51032990300155,107.51032990300155,107.50623315700068,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,420,0.5,6,0,4,4,0,6,1,6,0,4,114.10953306999727,119.42576249800186,119.42576249800186,119.42278304800129,diff,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,400,0.5,7,1,4,4,1,7,0,7,1,4,125.74154746300337,131.1262954670019,131.1262954670019,131.12281032899773,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,420,0.5,8,0,5,5,0,8,1,8,0,5,138.15945454999746,144.25878996199754,144.25878996199754,144.25583252900105,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,400,0.5,9,1,5,5,1,9,0,9,1,5,151.33918550700037,156.5085423950004,156.5085423950004,156.50570987600076,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,400,0.5,10,0,6,6,0,10,0,10,0,6,164.1592072679996,169.10869745499804,169.10869745499804,169.1057160950004,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,420,0.5,11,1,6,6,1,11,1,11,1,6,175.688900688001,181.8920005159962,181.8920005159962,181.88883005899697,same,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
400,0.5,420,0.5,12,0,7,7,0,12,1,12,0,7,188.83699160299875,195.97494311899936,195.97494311899936,195.97200967700337,diff,chase50coh_0.5oct_3sWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_3sWMdelay,2023-07-25_12h12.40.252,2022.1.4,
