cue_frequency,cue_frequency_range,choice_frequency,choice_frequency_range,thisN,thisTrialN,thisRepN,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisN,thisTrialN,thisRepN,audio_onset,audio_offset,display_feedback,response_time,response,runid,ttl,monitor,responseType,eyetracker,screen_resolution,monitor_width,full_screen,ttl_code,sound_fs,mmb_port_code,pport_port_code,ttl_port,outputDir,date,psychopy_version,
400,0.5,400,0.5,0,0,1,1,0,0,0,0,0,1,30.463641644004383,37.68030488500517,37.68030488500517,37.67735903700668,same,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,420,0.5,1,1,1,1,1,1,1,1,1,1,44.91374043000542,48.07745633400191,48.07745633400191,48.06502155700582,diff,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,400,0.5,2,0,2,2,0,2,0,2,0,2,55.21397046900529,59.17769898300321,59.17769898300321,59.16533735000121,same,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,420,0.5,3,1,2,2,1,3,1,3,1,2,66.13080692700169,68.88082913800463,68.88082913800463,68.87788318400271,diff,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,400,0.5,4,0,3,3,0,4,0,4,0,3,76.4961432400014,79.74746051500551,79.74746051500551,79.74478594900575,same,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,420,0.5,5,1,3,3,1,5,1,5,1,3,86.49800870699983,89.01147213100194,89.01147213100194,88.99944512900402,diff,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,400,0.5,6,0,4,4,0,6,0,6,0,4,95.26466135300143,97.69492935700691,97.69492935700691,97.68272661200172,same,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,420,0.5,7,1,4,4,1,7,1,7,1,4,105.26519277000625,107.91643254800147,107.91643254800147,107.9131968990041,diff,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,420,0.5,8,0,5,5,0,8,1,8,0,5,115.43150756100658,119.1785894870045,119.1785894870045,119.1662468160066,diff,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
400,0.5,400,0.5,9,1,5,5,1,9,0,9,1,5,126.23190501600038,128.8835382000034,128.8835382000034,128.88016719800362,same,chase50coh_0.5oct_halfSecWMdelay,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase50coh_0.5oct_halfSecWMdelay,2023-07-25_14h12.59.299,2022.1.4,
