cue_frequency,cue_frequency_range,choice_frequency,choice_frequency_range,thisN,thisTrialN,thisRepN,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisN,thisTrialN,thisRepN,audio_onset,audio_offset,display_feedback,response_time,response,runid,ttl,monitor,responseType,eyetracker,screen_resolution,monitor_width,full_screen,ttl_code,sound_fs,mmb_port_code,pport_port_code,ttl_port,outputDir,date,psychopy_version,
400,0.5,480,0.5,0,0,1,1,0,0,7,0,0,1,18.729381197001203,24.129833621002035,24.129833621002035,24.12579634100257,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,440,0.5,1,1,1,1,1,1,6,1,1,1,30.71308004900129,37.992173224,37.992173224,37.97927207900284,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,2,2,1,1,2,2,1,2,2,1,45.579183649002516,51.64557722000245,51.64557722000245,51.642148498001916,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,3,3,1,1,3,3,2,3,3,1,57.72901421400093,62.861677029999555,62.861677029999555,62.858771859002445,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,4,4,1,1,4,4,3,4,4,1,69.84624510300273,75.64506722400256,75.64506722400256,75.64198926100289,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,5,5,1,1,5,5,0,5,5,1,82.3287970090023,88.31149853300303,88.31149853300303,88.30851550200168,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,410,0.5,6,6,1,1,6,6,4,6,6,1,94.46188093800083,100.71116104199973,100.71116104199973,100.7083399639996,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,420,0.5,7,7,1,1,7,7,5,7,7,1,107.42644320600084,113.25818382600119,113.25818382600119,113.24511549500312,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,8,0,2,2,0,8,0,8,0,2,119.92700812800103,126.39427047400022,126.39427047400022,126.39132030100154,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,480,0.5,9,1,2,2,1,9,7,9,1,2,133.96200974900057,139.67443314699995,139.67443314699995,139.6616857850022,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,10,2,2,2,2,10,3,10,2,2,146.6600854740027,153.1943100640019,153.1943100640019,153.19099519800147,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,410,0.5,11,3,2,2,3,11,4,11,3,2,160.62647976300286,166.07795819700186,166.07795819700186,166.07418029499968,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,420,0.5,12,4,2,2,4,12,5,12,4,2,172.49241925500246,178.01021638699967,178.01021638699967,178.00734646800265,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,13,5,2,2,5,13,2,13,5,2,185.24286453800232,191.29342199700113,191.29342199700113,191.2904414930017,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,440,0.5,14,6,2,2,6,14,6,14,6,2,198.8926484600015,204.2599994200027,204.2599994200027,204.2569831610017,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,15,7,2,2,7,15,1,15,7,2,211.77795896800308,217.12651091800217,217.12651091800217,217.1235739420008,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,440,0.5,16,0,3,3,0,16,6,16,0,3,224.44024061600066,229.9763232050027,229.9763232050027,229.97338113800288,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,17,1,3,3,1,17,3,17,1,3,237.04355179300182,243.19297808299962,243.19297808299962,243.189958414001,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,420,0.5,18,2,3,3,2,18,5,18,2,3,249.72747152100055,255.24301129800006,255.24301129800006,255.23986429500292,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,410,0.5,19,3,3,3,3,19,4,19,3,3,262.59203823700227,268.2758410560018,268.2758410560018,268.2729726710022,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,20,4,3,3,4,20,1,20,4,3,275.4171632450016,281.47577940700285,281.47577940700285,281.47279623400027,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,21,5,3,3,5,21,2,21,5,3,289.32502955400196,294.77269195700137,294.77269195700137,294.7600199240005,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,480,0.5,22,6,3,3,6,22,7,22,6,3,301.89303192100124,306.94266006399994,306.94266006399994,306.93925102900175,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,23,7,3,3,7,23,0,23,7,3,314.7428777290006,319.72247994899953,319.72247994899953,319.7094626310027,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,24,0,4,4,0,24,1,24,0,4,326.8428774109998,331.90885936700215,331.90885936700215,331.90579432199956,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,480,0.5,25,1,4,4,1,25,7,25,1,4,338.5075605530001,344.29171246400074,344.29171246400074,344.2889465650005,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,26,2,4,4,2,26,0,26,2,4,351.1245488750028,358.5585903020001,358.5585903020001,358.55563985400295,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,27,3,4,4,3,27,2,27,3,4,364.9596369880019,371.19171325200296,371.19171325200296,371.18872709300194,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,440,0.5,28,4,4,4,4,28,6,28,4,4,378.5741904530005,383.60838818400225,383.60838818400225,383.6052920830007,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,420,0.5,29,5,4,4,5,29,5,29,5,4,391.47539550700094,396.8254585800023,396.8254585800023,396.821870658001,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,410,0.5,30,6,4,4,6,30,4,30,6,4,402.9733964469997,409.47526826600006,409.47526826600006,409.4717894230016,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,31,7,4,4,7,31,3,31,7,4,417.4906258250012,424.1912748600007,424.1912748600007,424.1882858099998,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,480,0.5,32,0,5,5,0,32,7,32,0,5,431.5417763350015,437.1744527940027,437.1744527940027,437.17151136100074,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,420,0.5,33,1,5,5,1,33,5,33,1,5,443.70695763200274,448.6546705380024,448.6546705380024,448.6417560040027,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,34,2,5,5,2,34,0,34,2,5,454.90635393600314,460.4911604910012,460.4911604910012,460.48802790000263,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,400,0.5,35,3,5,5,3,35,1,35,3,5,467.590230703001,472.45442429600007,472.45442429600007,472.4416482400011,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,440,0.5,36,4,5,5,4,36,6,36,4,5,480.2420091560016,485.2210808210002,485.2210808210002,485.20803212100145,diff,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
400,0.5,410,0.5,37,5,5,5,5,37,4,37,5,5,493.05856174600194,497.94054172899996,497.94054172899996,497.93760524400204,same,chase80coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Desktop/NKI/Task_TaxonomyAuditoryMemory/logs/chase80coh_0.5oct,2023-07-24_15h45.32.573,2022.1.4,
